Date,Name,Year,Letterboxd URI,Rating
2024-10-16,Saving Private Ryan,1998,https://boxd.it/29ro,4.5
2024-10-16,Lost in Translation,2003,https://boxd.it/2b0E,3
2024-10-16,Scott Pilgrim vs. the World,2010,https://boxd.it/1Aq6,3.5
2024-10-17,About Time,2013,https://boxd.it/43bI,3.5
2024-10-17,Maharaja,2024,https://boxd.it/GiAu,4
2024-10-17,The Devil Wears Prada,2006,https://boxd.it/2awE,3.5
2024-10-18,Dune,2021,https://boxd.it/fA7G,4
2024-10-18,Dune: Part Two,2024,https://boxd.it/pUfA,4.5
2024-10-18,October,2018,https://boxd.it/hUvi,3.5
2024-10-19,Anatomy of a Fall,2023,https://boxd.it/yuDE,4
2024-10-19,Aligarh,2016,https://boxd.it/cRto,3.5
2024-10-20,Gravity,2013,https://boxd.it/GZY,3.5
2024-10-20,Little Miss Sunshine,2006,https://boxd.it/29EW,4.5
2024-10-20,Ford v Ferrari,2019,https://boxd.it/ce74,5
2024-10-20,Immaculate,2024,https://boxd.it/Douw,2
2024-10-21,Nightcrawler,2014,https://boxd.it/780m,4
2024-10-22,Drive,2011,https://boxd.it/IG,4.5
2024-10-23,Vadh,2022,https://boxd.it/DCNM,3
2024-10-23,Nocturnal Animals,2016,https://boxd.it/bkFu,3
2024-10-23,The Intern,2015,https://boxd.it/7AOE,4
2024-10-23,The Imitation Game,2014,https://boxd.it/6aig,4.5
2024-10-24,Drive My Car,2021,https://boxd.it/sv94,4.5
2024-10-24,While We Watched,2022,https://boxd.it/Cp0A,3.5
2024-10-24,Legally Blonde,2001,https://boxd.it/1ZNa,3.5
2024-10-25,Transformers One,2024,https://boxd.it/q7bc,4.5
2024-10-25,Doraemon: Nobita and the New Steel Troops: Winged Angels,2011,https://boxd.it/4pQI,4.5
2024-10-26,Everything Everywhere All at Once,2022,https://boxd.it/jUk4,4.5
2024-10-26,Bol Bachchan,2012,https://boxd.it/3MzI,2.5
2024-10-26,The Truman Show,1998,https://boxd.it/18U8,4.5
2024-10-26,Rang De Basanti,2006,https://boxd.it/20KG,4
2024-10-26,Shubh Mangal Zyada Saavdhan,2020,https://boxd.it/mobA,4
2024-10-26,Kill Bill: Vol. 1,2003,https://boxd.it/70w,4.5
2024-10-26,Kill Bill: Vol. 2,2004,https://boxd.it/2au4,4.5
2024-10-27,Ta Ra Rum Pum,2007,https://boxd.it/1ODo,2.5
2024-10-27,Rush Hour,1998,https://boxd.it/27pU,3.5
2024-10-28,Johnny English Reborn,2011,https://boxd.it/kQq,3
2024-10-28,Zombieland,2009,https://boxd.it/1En6,3.5
2024-10-28,Zombieland: Double Tap,2019,https://boxd.it/bgb6,3.5
2024-10-28,Ace Ventura: Pet Detective,1994,https://boxd.it/25RW,2.5
2024-10-28,The Nightmare Before Christmas,1993,https://boxd.it/1YzQ,4.5
2024-10-29,Zoolander,2001,https://boxd.it/1YMA,3
2024-10-30,Not Another Teen Movie,2001,https://boxd.it/1TWq,3
2024-10-31,Bottoms,2023,https://boxd.it/uGf2,4
2024-10-31,Gifted,2017,https://boxd.it/e5dG,4.5
2024-11-01,Anyone But You,2023,https://boxd.it/EzA8,2.5
2024-11-01,The Hangover,2009,https://boxd.it/1GjK,3.5
2024-11-03,Transformers: Rise of the Beasts,2023,https://boxd.it/oQTa,2.5
2024-11-04,Monkey Man,2024,https://boxd.it/kvsO,4
2024-11-09,Dev.D,2009,https://boxd.it/1L5I,3.5
2024-11-15,Look Back,2024,https://boxd.it/LjA6,4.5
2024-11-15,An Action Hero,2022,https://boxd.it/xk3Y,3.5
2024-11-23,Blackmail,2018,https://boxd.it/ixLE,3
2024-11-23,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,2006,https://boxd.it/2agQ,4
2024-11-23,Borat Subsequent Moviefilm,2020,https://boxd.it/rNS0,3.5
2024-11-25,Lucy,2014,https://boxd.it/75hu,2.5
2024-11-30,OMG: Oh My God!,2012,https://boxd.it/4nuA,3.5
2024-12-08,Vicky Vidya Ka Woh Wala Video,2024,https://boxd.it/K2WW,2
2024-12-08,Kaalakaandi,2018,https://boxd.it/gMqM,2.5
2024-12-22,Mere Brother Ki Dulhan,2011,https://boxd.it/2AVg,2.5
2024-12-23,The Namesake,2006,https://boxd.it/1JJG,3.5
2024-12-24,Porco Rosso,1992,https://boxd.it/1Tp2,4
2024-12-24,Yo Yo Honey Singh: Famous,2024,https://boxd.it/LHee,1.5
2024-12-25,Bullet Train,2022,https://boxd.it/qW26,3.5
2024-12-26,The Exorcist,1973,https://boxd.it/1Yoo,3.5
2024-12-26,Midsommar,2019,https://boxd.it/jhxe,4
2024-12-26,Red One,2024,https://boxd.it/vTBM,1.5
2024-12-27,"tick, tick... BOOM!",2021,https://boxd.it/jz2e,4
2024-12-30,The Green Mile,1999,https://boxd.it/2agG,5
2024-12-31,Asteroid City,2023,https://boxd.it/s3ds,3
2025-01-06,Tetris,2023,https://boxd.it/rePK,4
2025-01-06,"Happy New Year, Charlie Brown",1986,https://boxd.it/Ad0,3
2025-01-10,Citizen Kane,1941,https://boxd.it/71O,4
2025-01-10,Peanuts in Space: Secrets of Apollo 10,2019,https://boxd.it/mnrW,3
2025-01-10,Jolly LLB,2013,https://boxd.it/5r9o,4
2025-01-11,30 Minutes or Less,2011,https://boxd.it/bRa,2.5
2025-01-12,Whiplash,2014,https://boxd.it/7bQA,4
2025-01-24,Anora,2024,https://boxd.it/Egcw,4
2025-01-24,Bata Boy and Crocs Girl,2025,https://boxd.it/SoFa,2.5
2025-01-29,Nosferatu,2024,https://boxd.it/f5eG,4
2025-02-14,Zodiac,2007,https://boxd.it/27MO,4
2025-02-18,A Real Pain,2024,https://boxd.it/CjNG,4
2025-02-19,Darkest Hour,2017,https://boxd.it/dZZa,3.5
2025-04-14,Mrs.,2023,https://boxd.it/zy8C,3.5
2025-04-14,Godzilla Minus One,2023,https://boxd.it/zu4c,4.5
2025-04-14,The Big Short,2015,https://boxd.it/ajZw,3.5
2025-04-18,The Hangover Part II,2011,https://boxd.it/PZI,3
2025-04-24,It's Such a Beautiful Day,2012,https://boxd.it/hCY2,5
2025-04-26,Conclave,2024,https://boxd.it/AO8q,3.5
2025-04-27,John Wick,2014,https://boxd.it/7dEc,4
2025-04-28,John Wick: Chapter 2,2017,https://boxd.it/ayGu,3.5
2025-04-28,John Wick: Chapter 3 – Parabellum,2019,https://boxd.it/gmFw,4
2025-04-28,John Wick: Chapter 4,2023,https://boxd.it/mh48,4
2025-04-30,The Matrix,1999,https://boxd.it/2a1m,4.5
2025-05-01,The Matrix Reloaded,2003,https://boxd.it/2a1c,3.5
2025-05-01,The Matrix Revolutions,2003,https://boxd.it/2a12,3.5
2025-05-01,The Matrix Resurrections,2021,https://boxd.it/n87k,3
2025-05-03,Transformers,2007,https://boxd.it/280c,3
2025-05-03,Transformers: Revenge of the Fallen,2009,https://boxd.it/20gG,2
2025-05-03,Transformers: Dark of the Moon,2011,https://boxd.it/16aC,3
2025-05-03,Transformers: Age of Extinction,2014,https://boxd.it/3d1m,2
2025-05-03,Transformers: The Last Knight,2017,https://boxd.it/b8xo,1.5
2025-05-05,The Bourne Identity,2002,https://boxd.it/26EO,4
2025-05-05,The Bourne Supremacy,2004,https://boxd.it/26EE,3.5
2025-05-07,The Bourne Ultimatum,2007,https://boxd.it/26Eu,4
2025-05-07,The Bourne Legacy,2012,https://boxd.it/H16,2.5
2025-05-07,Jason Bourne,2016,https://boxd.it/ayYy,2.5
2025-05-08,Adolescence,2025,https://boxd.it/TFGw,4.5
2025-05-08,Mission: Impossible,1996,https://boxd.it/29d2,4
2025-05-08,Mission: Impossible II,2000,https://boxd.it/29cS,3
2025-05-08,Mission: Impossible III,2006,https://boxd.it/29cI,3.5
2025-05-08,Mission: Impossible – Ghost Protocol,2011,https://boxd.it/psI,4
2025-05-09,Mission: Impossible – Rogue Nation,2015,https://boxd.it/5rI4,4
2025-05-09,Mission: Impossible – Fallout,2018,https://boxd.it/bSVc,4.5
2025-05-09,Mission: Impossible – Dead Reckoning,2023,https://boxd.it/l7zS,3.5
2025-05-10,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,https://boxd.it/29eY,5
2025-05-10,The Substance,2024,https://boxd.it/zanS,4.5
2025-05-11,Jaggi,2022,https://boxd.it/AGbm,4
2025-05-11,Shiva Baby,2020,https://boxd.it/oIv0,3.5
2025-05-12,Heretic,2024,https://boxd.it/H1lY,3.5
2025-05-12,Men in Black,1997,https://boxd.it/2a0I,4
2025-05-12,Men in Black II,2002,https://boxd.it/2a0y,3
2025-05-12,Men in Black 3,2012,https://boxd.it/103U,3.5
2025-05-13,Men in Black: International,2019,https://boxd.it/hdJw,1.5
2025-05-13,Flow,2024,https://boxd.it/v1Ei,4.5
2025-05-13,My Mother's Girlfriend,2021,https://boxd.it/uBsg,3.5
2025-05-14,Aftersun,2022,https://boxd.it/Arw0,5
2025-05-14,Thunderbolts*,2025,https://boxd.it/BfbQ,3.5
2025-05-14,Grand Theft Hamlet,2024,https://boxd.it/KUyE,3
2025-05-15,Eraserhead,1977,https://boxd.it/299u,4
2025-05-15,Attack on Titan The Final Chapters: Special 1,2023,https://boxd.it/JyYy,5
2025-05-15,Attack on Titan The Final Chapters: Special 2,2023,https://boxd.it/JyZw,5
2025-05-15,Wolfs,2024,https://boxd.it/x6zG,3
2025-05-16,Ocean's Eleven,2001,https://boxd.it/2aZm,4
2025-05-16,Ocean's Twelve,2004,https://boxd.it/2aZ2,3
2025-05-16,Ocean's Thirteen,2007,https://boxd.it/2aEy,3.5
2025-05-16,Ocean's Eight,2018,https://boxd.it/eaai,2.5
2025-05-17,Ted,2012,https://boxd.it/2pgc,3
2025-05-17,Ted 2,2015,https://boxd.it/6oCY,3
2025-05-17,Perfect Days,2023,https://boxd.it/ATh8,5
2025-05-21,Hiroshima Mon Amour,1959,https://boxd.it/22WY,4
2025-05-24,Shin Godzilla,2016,https://boxd.it/a9lm,3.5
2025-05-24,Pacific Rim,2013,https://boxd.it/2cB2,3.5
2025-05-24,Pacific Rim: Uprising,2018,https://boxd.it/83Qa,1
2025-05-25,Cloverfield,2008,https://boxd.it/2192,3.5
2025-05-26,Kong: Skull Island,2017,https://boxd.it/9ewM,3.5
2025-05-26,Godzilla,2014,https://boxd.it/47OE,3.5
2025-05-26,Godzilla: King of the Monsters,2019,https://boxd.it/cY7Y,4
2025-05-27,Godzilla vs. Kong,2021,https://boxd.it/e0qK,3
2025-05-27,Godzilla × Kong: The New Empire,2024,https://boxd.it/v1PK,3
2025-05-31,The Ugly Stepsister,2025,https://boxd.it/MZBM,3
2025-06-03,Boyhood,2014,https://boxd.it/3178,5
2025-06-05,A Complete Unknown,2024,https://boxd.it/oBYa,3.5
2025-06-05,Arrival,2016,https://boxd.it/aNGk,4.5
2025-06-06,Sinners,2025,https://boxd.it/KQMM,5
2025-06-09,This Is Not a Film,2011,https://boxd.it/2W4o,4
2025-06-10,Memories of Murder,2003,https://boxd.it/1TSo,5
2025-06-11,Cha Cha Real Smooth,2022,https://boxd.it/uF8E,4
2025-06-11,Ghost Rider,2007,https://boxd.it/290M,1.5
2025-06-12,Ghost Rider: Spirit of Vengeance,2011,https://boxd.it/2qne,0.5
2025-06-13,Constantine,2005,https://boxd.it/2a7E,3.5
2025-06-13,Echo Valley,2025,https://boxd.it/Fv9O,2.5
2025-06-14,Daredevil,2003,https://boxd.it/1YzG,2.5
2025-06-14,Elektra,2005,https://boxd.it/1XsE,1
2025-06-15,The Punisher,2004,https://boxd.it/217g,3
2025-06-15,Punisher: War Zone,2008,https://boxd.it/1QWM,3
2025-06-16,Catwoman,2004,https://boxd.it/2aBY,1
2025-06-18,Watchmen,2009,https://boxd.it/1QE4,4
2025-06-23,American History X,1998,https://boxd.it/2bdo,4.5
2025-06-24,War of the Worlds,2005,https://boxd.it/2bde,3.5
2025-06-27,F1,2025,https://boxd.it/yjVM,4
2025-07-08,Superman,1978,https://boxd.it/27Qm,4
2025-07-09,Superman II,1980,https://boxd.it/204q,3
2025-07-09,Superman III,1983,https://boxd.it/1YrM,2.5
2025-07-10,Superman IV: The Quest for Peace,1987,https://boxd.it/1TUk,1.5
2025-07-11,Superman Returns,2006,https://boxd.it/28J2,3
2025-07-11,Man of Steel,2013,https://boxd.it/FRk,2.5
2025-07-11,Batman v Superman: Dawn of Justice,2016,https://boxd.it/6fBW,2
2025-07-12,Superman,2025,https://boxd.it/E9IU,4
2025-07-13,Elephant,2003,https://boxd.it/287i,3
2025-07-13,The Suicide Squad,2021,https://boxd.it/fw6O,4
2025-07-17,Jurassic Park,1993,https://boxd.it/2aA2,4.5
2025-07-25,Fantastic Four,2005,https://boxd.it/1XVw,3
2025-07-26,Fantastic Four: Rise of the Silver Surfer,2007,https://boxd.it/27Ii,2.5
2025-07-26,Fantastic Four,2015,https://boxd.it/5a9c,1
2025-07-27,The Fantastic 4: First Steps,2025,https://boxd.it/mP6C,4
2025-08-03,Sitaare Zameen Par,2025,https://boxd.it/Ja4m,3
2025-08-06,Metro... In Dino,2025,https://boxd.it/Ej2k,3
2025-08-16,Jurassic World Rebirth,2025,https://boxd.it/KUeE,2
2025-08-17,Tehran,2025,https://boxd.it/zxg6,3
2025-08-24,Mission: Impossible – The Final Reckoning,2025,https://boxd.it/l7A2,3.5
2025-10-21,The Silence of the Lambs,1991,https://boxd.it/2aHW,4.5
2025-10-21,A Clockwork Orange,1971,https://boxd.it/2aVE,4
2025-10-26,Memento,2000,https://boxd.it/2bcK,4
2025-10-26,Chungking Express,1994,https://boxd.it/1UDa,5
2025-10-26,Fallen Angels,1995,https://boxd.it/1UkW,4.5
2025-10-30,In the Mood for Love,2000,https://boxd.it/29tE,5
2025-11-03,Go Goa Gone,2013,https://boxd.it/5MJs,4
2025-11-06,Beautiful Boy,2018,https://boxd.it/g76Q,4.5
2025-11-07,The Perfect Neighbor,2025,https://boxd.it/RSG6,3.5
2025-11-09,Udaan,2010,https://boxd.it/PPe,4.5
2025-11-10,The Iron Giant,1999,https://boxd.it/1Wow,5
2025-11-12,12 Angry Men,1957,https://boxd.it/2auI,5
2025-11-12,Weapons,2025,https://boxd.it/EMTM,3.5
2025-11-13,Monsoon Wedding,2001,https://boxd.it/2aiM,4
2025-11-24,Homebound,2025,https://boxd.it/KDDs,4
2025-11-24,The Perks of Being a Wallflower,2012,https://boxd.it/2ZA8,5
2025-12-20,Dhurandhar,2025,https://boxd.it/NhCI,4
2025-12-21,One Battle After Another,2025,https://boxd.it/DUHM,5
2025-12-25,The Florida Project,2017,https://boxd.it/dMG0,5
2025-12-26,Frankenstein,2025,https://boxd.it/Ecsg,5
2025-12-26,Groundhog Day,1993,https://boxd.it/2b3e,3.5
2025-12-26,How the Grinch Stole Christmas,2000,https://boxd.it/1ZHQ,3
2025-12-27,Baramulla,2025,https://boxd.it/YdUU,3
2025-12-27,Nuremberg,2025,https://boxd.it/K6qU,3.5
2025-12-28,Nobody,2021,https://boxd.it/mLqS,3.5
2025-12-28,Nobody 2,2025,https://boxd.it/C5Lc,2.5
2025-12-30,Django Unchained,2012,https://boxd.it/2cCk,4.5
2025-12-30,Raat Akeli Hai - The Bansal Murders,2025,https://boxd.it/Sq7a,3
2025-12-31,The 36th Chamber of Shaolin,1978,https://boxd.it/1SXC,4
2026-01-02,"The Good, the Bad and the Ugly",1966,https://boxd.it/2ape,4.5
2026-01-02,Stranger Things 5: The Finale,2025,https://boxd.it/YqXW,3.5
2026-01-03,Badmaash Company,2010,https://boxd.it/17qG,3
2026-01-25,The Secret Life of Walter Mitty,2013,https://boxd.it/3SWy,4.5
2026-01-25,Life in a Metro,2007,https://boxd.it/1DoW,3.5
2026-01-26,The Diplomat,2025,https://boxd.it/Hs1m,3
2026-02-01,Peepli Live,2010,https://boxd.it/RGo,4.5
2026-02-03,The Zone of Interest,2023,https://boxd.it/gJsA,4
2026-02-03,Chaar Phool Hain Aur Duniya Hai,2024,https://boxd.it/R5Gw,3.5
2026-02-03,Kiss.,2022,https://boxd.it/ABMW,3.5
2026-02-08,The Times of Harvey Milk,1984,https://boxd.it/1g1U,4
2026-02-08,The Worst Person in the World,2021,https://boxd.it/oyws,4.5
2026-02-14,Marty Supreme,2025,https://boxd.it/Off0,4.5
