Date,Name,Year,Letterboxd URI,Rating,Rewatch,Review,Tags,Watched Date
2025-11-24,Homebound,2025,https://boxd.it/bOumSR,4,,"one of the best movies i've probably watched come out of 2025, i really wanted to watch it in theatres but they had minimal screenings at odd hours which is extremely unfair to a movie like this.
it is perfectly deserving of being india's pick at the oscars, it breaks us apart with every moment, shown the pain of how difficult it is to be discriminated on the basis of caste and religion.
here is the reality, the ground reality, for those who still don't understand it maybe this movie is a reminder to let them know, and make them care.",,2025-11-23
2025-11-24,The Perks of Being a Wallflower,2012,https://boxd.it/bOyKyz,5,,"i do not think the pain i felt will be gone any time soon, AND I WILL WATCH IT AGAIN.",,2025-11-23
2025-12-20,Dhurandhar,2025,https://boxd.it/c7j1jP,4,,"i was skeptical of the runtime because it is LONG but how well it is paced might be one of the greatest things pulled off.
such a big successful movie, but i have not many complaints from it, that is rare esp in hindi cinema.
the gore too wasn't overdone, it was tasteful, as much as it is required and not a tad bit more. 
i really wanted the gaalis to be uncensored welp here we are cockblocked by india's cbfc, nonetheless it was such a great movie.
tbh it was more of a ""akshaye khanna the movie ft. ranveer singh"" but i guess the worldbuilding required one movie time to establish this huge world.
solid movie fr and a fully theatrical experience.",,2025-12-19
2025-12-21,One Battle After Another,2025,https://boxd.it/c8g4Ep,5,,just surprised at the fact of how exaggerated it is and yet it is very meta because of how shit the world is right now,,2025-12-20
2025-12-25,The Florida Project,2017,https://boxd.it/cd4fP5,5,,willem dafoe in this movie is the silent guardian every child needs for themselves,,2025-12-24
2025-12-26,Frankenstein,2025,https://boxd.it/cdTU9r,5,,"a very honest and heartfelt adaptation from the original source material,
it tackles the question of life and death with the proper <i>nuance</i> needed
and it all comes full circle when it ends with where it all started, 
a man who envisioned and achieved the extraordinary being fascinated by his own vision, sitting an awe of realisation of the inhumanity of his own human dream

<i>""Rest now, Father. Perhaps now, we can both be human.""</i>",,2025-12-25
2025-12-26,Groundhog Day,1993,https://boxd.it/ce6q0l,3.5,,one of those 3.5 star rated letterboxd movies that will stay with me for generations (if i undergo the same groundhog day syndrome),,2025-12-25
2025-12-26,How the Grinch Stole Christmas,2000,https://boxd.it/cehXHf,3,,"very cool movie, a lot of shit happens, jim carrey, monsters worrying about taxes

absolute fucking cinema",,2025-12-25
2025-12-27,Baramulla,2025,https://boxd.it/cf6sQH,3,,"an actually good horror movie, with very appealing visuals and acting which is also awesome
plus it hits whenever there is emotion?
good job bollywood",,2025-12-26
2025-12-27,Nuremberg,2025,https://boxd.it/cgapVB,3.5,,"eh, its not that bad, i thought it was fine
not LIFECHANGING as it intends to be, rather it is just fine",,2025-12-27
2025-12-28,Nobody,2021,https://boxd.it/cgrH11,3.5,,"wait i think i watched the wrong better call saul
WAIT WHY IS THIS AWESOME???",,2025-12-27
2025-12-28,Nobody 2,2025,https://boxd.it/cgDpfN,2.5,,i feel like they made this just for shits and giggles ,,2025-12-27
2025-12-30,Django Unchained,2012,https://boxd.it/ciOfl7,4.5,,thank you Dr. Schultz for being my replacement for Duolingo on this fine random monday I've decided to watch django unchained on,,2025-12-29
2025-12-30,Raat Akeli Hai - The Bansal Murders,2025,https://boxd.it/cj6kLb,3,,"uneven pacing and tension too, sometimes it feels too fast, and for the most part the tension is very weirdly done
cherry on top is nawazuddin siddique's performance which is awesome and the supporting cast too is great",,2025-12-29
2025-12-31,The 36th Chamber of Shaolin,1978,https://boxd.it/cklloV,4,,KYA MOVIE HAI YAAR MAZA HI AA GAYA,,2025-12-30
2026-01-02,"The Good, the Bad and the Ugly",1966,https://boxd.it/cmp3Nz,4.5,,"ending the year with this banger which is just cinematography heaven (i had never watched it before, apparently my one of my father's childhood movies lol)",,2025-12-31
2026-01-02,Stranger Things 5: The Finale,2025,https://boxd.it/cmGslp,3.5,,"first movie of the year, and probably one of the <b>most</b> anticipated endings to a show.

i grew up with this show, i watched s1 and was <i>way</i> <i>too scared of the demos</i> of s2, eventually i gave in and watched that too.

don't get me wrong but this ending was a tad bit empty for me. it did give <i>closure</i> to the series as needed but lacked in dialogue, deliver and script pretty bad.

it was carried hard by the stunning performances by Gaten Matarazzo and Joey Keery, alongside with David Harbour, Sadie Sink and Nell Fisher. They were the only ones who I believe gave remarkable perfomances in this extravaganza.

It was filled with dispersed tension and quite a few plot holes with the biggest one being ""If Jim Hopper is dead, how does he get to be the chief of police, didn't he fake his death to hide?"", it's either i'm too dumb to find the answer or it's just never answered.

would I say it was a <b>great</b> ending? no
would I say it was a good ending to a show that I grew up with for like 10 years of my life? <b>absolutely</b>",,2026-01-01
2026-01-03,Dhurandhar,2025,https://boxd.it/cnKi1L,4,Yes,"I'm not changing the rating but, on second watch i can truly realise how short of a time ranveer's character was given, it's really absurd how it is his movie and his character is given crumbs to work with. 
if his backstory was shown, it would somewhat make his case <i>wayyy</i> better.
let to rest the flaws, the movie is action packed and a very engaging watch, you do not get bored at all, but in getting the engagement it lost to some parts in the script where it was just a plethora of very impactful dialogues delivered half hazardly.
this is something I'd rate 3/5 if I saw it on OTT first, but because of the huge theatrical advantage it has rn it's a 4/5.",,2026-01-02
2026-01-03,Badmaash Company,2010,https://boxd.it/co7rTX,3,,"see okay, bollywood, this is what you used to be, now can you PLEASE take notes and come back

(i really liked the movie)",,2026-01-02
2026-01-25,The Secret Life of Walter Mitty,2013,https://boxd.it/cNzqrz,4.5,,"i saw a random reel of the penguin walking towards its untimely demise because it wanted to be free, 
there i saw a comment
""walter mitty could be the perfect movie for it""
walter mitty? i had heard of it, never watched it before, let's try
could be one of the most amazing movie watches based on impulse ever.",,2026-01-24
2026-01-25,Life in a Metro,2007,https://boxd.it/cOy6MJ,3.5,,"something you should watch when you are high, would make the experience like a bazillion times better when pritam just shows up singing songs while kalesh is happening live on screen",,2026-01-24
2026-01-26,The Diplomat,2025,https://boxd.it/cP4IXf,3,,"reverse bajrangi bhaijaan, or more like mulk-reversal of bajrangi bhaijaan",,2026-01-25
2026-02-01,Peepli Live,2010,https://boxd.it/cV8JZt,4.5,,"a documentary depicting the state of journalism, politics and mostly everything else in the most perfect way possible, apt for 2026",,2026-01-31
2026-02-03,The Zone of Interest,2023,https://boxd.it/cXwbZF,4,,".....unsettling, creepy and scary to watch.
it does not tell you anything, yet in that it calmly makes you aware of everything around.",,2026-02-02
2026-02-03,Chaar Phool Hain Aur Duniya Hai,2024,https://boxd.it/cXy51t,3.5,,"kavi hoon yaar, i just liked hearing him talk about his art and passion even if i could see that he should have been given more limelight in this movie :(",,2026-02-02
2026-02-03,Kiss.,2022,https://boxd.it/cXzeRv,3.5,,"in some seventeen minutes varun grover was able to convey censorship, ridiculous sense of morality, christopher nolan's inception, akira kurosawa's rashomon AND an extremely literal portrayal of self love?
ABSOLUTE CINEMA",,2026-02-02
2026-02-08,The Times of Harvey Milk,1984,https://boxd.it/d1WlvD,4,,"the times of harvey milk don't distinguish themselves much with what we have right now, the state of the world and the u*ited s*ates.
we still discriminate every single color, creed, religion, it's just that now the government and the people take pride in it :)",,2026-02-07
2026-02-08,The Worst Person in the World,2021,https://boxd.it/d2H9an,4.5,,"guys, she wasn't THAT bad okay, worst person was definitely the character bobcat from the hit misogynistic comic strip by a man pushing 50",,2026-02-08
2026-02-14,Marty Supreme,2025,https://boxd.it/d6TH1p,4.5,,"hol'up i do not think table tennis has THAT much rizz, HECK any sport may not have as much
its just marty and his aurafarming man, it gets everyone",,2026-02-12
