Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2024-12-26,Red One,2024,https://boxd.it/8a2UHX,1.5,,,2024-12-26
2024-12-27,"tick, tick... BOOM!",2021,https://boxd.it/8byJXt,4,,"netflix, musical",2024-12-27
2024-12-30,The Green Mile,1999,https://boxd.it/8emXmz,5,,"netflix, classic",2024-12-30
2024-12-31,Asteroid City,2023,https://boxd.it/8eH0qJ,3,,,2024-12-31
2025-01-06,Tetris,2023,https://boxd.it/8kEg4d,4,,"appletv, thriller, game, suspense, historical, documentary",2025-01-05
2025-01-06,"Happy New Year, Charlie Brown",1986,https://boxd.it/8l6t4V,3,,,2025-01-06
2025-01-10,Citizen Kane,1941,https://boxd.it/8oqKHx,4,,,2025-01-09
2025-01-10,Peanuts in Space: Secrets of Apollo 10,2019,https://boxd.it/8or8RL,3,,appletv,2025-01-09
2025-01-10,Jolly LLB,2013,https://boxd.it/8p68uT,4,,,2025-01-10
2025-01-11,30 Minutes or Less,2011,https://boxd.it/8ql9nt,2.5,,"netflix, comedy",2025-01-11
2025-01-24,Anora,2024,https://boxd.it/8AjCtL,4,,,2025-01-23
2025-01-24,Bata Boy and Crocs Girl,2025,https://boxd.it/8AERlJ,2.5,,,2025-01-23
2025-01-29,Nosferatu,2024,https://boxd.it/8EjRk1,4,,"horror, nice movie i think?",2025-01-28
2025-02-14,Zodiac,2007,https://boxd.it/8P0Pgx,4,,,2025-02-13
2025-02-18,A Real Pain,2024,https://boxd.it/8SsuA5,4,,,2025-02-18
2025-02-19,Darkest Hour,2017,https://boxd.it/8SA2Ad,3.5,,,2025-02-18
2025-05-08,Adolescence,2025,https://boxd.it/9Dyk7x,4.5,,,2025-04-05
2025-04-14,Mrs.,2023,https://boxd.it/9oH2uh,3.5,,,2025-04-13
2025-04-14,Godzilla Minus One,2023,https://boxd.it/9oJZHX,4.5,,"gojira, action, netflix, godzilla",2025-04-13
2025-04-14,The Big Short,2015,https://boxd.it/9phvT3,3.5,,,2025-04-14
2025-04-18,The Hangover Part II,2011,https://boxd.it/9qZc0b,3,,,2025-04-17
2025-04-25,It's Such a Beautiful Day,2012,https://boxd.it/9vAYTt,5,,,2025-04-24
2025-04-27,Conclave,2024,https://boxd.it/9wMv4z,3.5,,,2025-04-26
2025-04-27,John Wick,2014,https://boxd.it/9x9ALJ,4,,"action, johnwick",2025-04-27
2025-04-29,John Wick: Chapter 2,2017,https://boxd.it/9xW2Gj,3.5,,,2025-04-28
2025-04-29,John Wick: Chapter 3 – Parabellum,2019,https://boxd.it/9xY8ST,4,,"action, johnwick, thriller",2025-04-28
2025-04-29,John Wick: Chapter 4,2023,https://boxd.it/9y2XjN,4,,,2025-04-28
2025-05-01,The Matrix,1999,https://boxd.it/9yU9tB,4.5,,,2025-04-30
2025-05-02,The Matrix Reloaded,2003,https://boxd.it/9zrqSp,3.5,,,2025-05-01
2025-05-02,The Matrix Revolutions,2003,https://boxd.it/9ztwu3,3.5,,,2025-05-01
2025-05-02,The Matrix Resurrections,2021,https://boxd.it/9zxdsF,3,,,2025-05-01
2025-05-03,Transformers,2007,https://boxd.it/9AAc0l,3,Yes,,2025-05-03
2025-05-04,Transformers: Revenge of the Fallen,2009,https://boxd.it/9AGlah,2,Yes,,2025-05-03
2025-05-04,Transformers: Dark of the Moon,2011,https://boxd.it/9AJsfJ,3,Yes,,2025-05-03
2025-05-04,Transformers: Age of Extinction,2014,https://boxd.it/9ALXHD,2,Yes,,2025-05-03
2025-05-04,Transformers: The Last Knight,2017,https://boxd.it/9AOxcF,1.5,Yes,"transformers, action",2025-05-03
2025-05-05,The Bourne Identity,2002,https://boxd.it/9C2zj1,4,,,2025-05-05
2025-05-06,The Bourne Supremacy,2004,https://boxd.it/9CcCLd,3.5,,,2025-05-05
2025-05-08,The Bourne Ultimatum,2007,https://boxd.it/9Dc8yn,4,,,2025-05-07
2025-05-08,The Bourne Legacy,2012,https://boxd.it/9Dgv1p,2.5,,,2025-05-07
2025-05-08,Jason Bourne,2016,https://boxd.it/9DiERX,2.5,,,2025-05-07
2025-05-08,Thunderbolts*,2025,https://boxd.it/9DiKRf,3.5,,"marvel, action, superhero, thunderbolts, thenewavengers, mcu",2025-05-07
2025-05-08,Mission: Impossible,1996,https://boxd.it/9DBPwJ,4,,,2025-05-08
2025-05-09,Mission: Impossible II,2000,https://boxd.it/9DFzQV,3,,,2025-05-08
2025-05-09,Mission: Impossible III,2006,https://boxd.it/9DJIPZ,3.5,,,2025-05-08
2025-05-09,Mission: Impossible – Ghost Protocol,2011,https://boxd.it/9DNLGz,4,,,2025-05-08
2025-05-09,Mission: Impossible – Rogue Nation,2015,https://boxd.it/9E3z9l,4,,,2025-05-09
2025-05-09,Mission: Impossible – Fallout,2018,https://boxd.it/9E5bev,4.5,,,2025-05-09
2025-05-10,Mission: Impossible – Dead Reckoning,2023,https://boxd.it/9Ecesp,3.5,,,2025-05-09
2025-05-10,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,https://boxd.it/9EBK3r,5,,,2025-05-10
2025-05-11,The Substance,2024,https://boxd.it/9ETb2f,4.5,,"mubi, horror, bodyhorror, thesusbstance",2025-05-10
2025-05-11,Jaggi,2022,https://boxd.it/9FciNl,4,,,2025-05-11
2025-05-11,Shiva Baby,2020,https://boxd.it/9FdV2l,3.5,,,2025-05-11
2025-05-12,Chungking Express,1994,https://boxd.it/9Fyk0J,5,,,2025-05-11
2025-05-12,Heretic,2024,https://boxd.it/9FWQGF,3.5,,,2025-05-12
2025-05-13,Men in Black,1997,https://boxd.it/9G818r,4,Yes,,2025-05-12
2025-05-13,Men in Black II,2002,https://boxd.it/9GanEN,3,Yes,,2025-05-12
2025-05-13,Men in Black 3,2012,https://boxd.it/9Gc5gH,3.5,Yes,,2025-05-13
2025-05-13,Men in Black: International,2019,https://boxd.it/9GsmP7,1.5,,,2025-05-13
2025-05-13,Flow,2024,https://boxd.it/9Guc6l,4.5,,"cat, cartoon, animated, flow, primevideo, oscars",2025-05-13
2025-05-14,My Mother's Girlfriend,2021,https://boxd.it/9GDRbz,3.5,,,2025-05-13
2025-05-14,Aftersun,2022,https://boxd.it/9GZlGz,5,,,2025-05-14
2025-05-15,Grand Theft Hamlet,2024,https://boxd.it/9H4msD,3,,,2025-05-14
2025-05-15,Eraserhead,1977,https://boxd.it/9HwaBJ,4,,,2025-05-15
2025-05-16,Attack on Titan The Final Chapters: Special 1,2023,https://boxd.it/9HCm7N,5,Yes,,2025-05-15
2025-05-16,Attack on Titan The Final Chapters: Special 2,2023,https://boxd.it/9HCyD7,5,Yes,,2025-05-15
2025-05-16,Wolfs,2024,https://boxd.it/9HISsv,3,,,2025-05-16
2025-05-16,Ocean's Eleven,2001,https://boxd.it/9HYVg5,4,,,2025-05-16
2025-05-17,Ocean's Twelve,2004,https://boxd.it/9I523f,3,,"oceanseleven, oceanstwelve, thriller, robbery, artwork, egg",2025-05-16
2025-05-17,Ocean's Thirteen,2007,https://boxd.it/9I8bVh,3.5,,,2025-05-16
2025-05-17,Ocean's Eight,2018,https://boxd.it/9IaxdZ,2.5,,,2025-05-16
2025-05-17,Ted,2012,https://boxd.it/9Iwr9h,3,,,2025-05-17
2025-05-17,Ted 2,2015,https://boxd.it/9Iy1e5,3,,,2025-05-17
2025-05-18,Perfect Days,2023,https://boxd.it/9ILKHx,5,,,2025-05-17
2025-05-18,Sinners,2025,https://boxd.it/9JeXn9,4.5,,,2025-05-18
2025-05-22,Hiroshima Mon Amour,1959,https://boxd.it/9L8mUV,4,,,2025-05-21
2025-05-24,Shin Godzilla,2016,https://boxd.it/9MItUT,3.5,,,2025-05-24
2025-05-24,Pacific Rim,2013,https://boxd.it/9MKQIP,3.5,,,2025-05-24
2025-05-24,Pacific Rim: Uprising,2018,https://boxd.it/9MM5S3,1,,,2025-05-24
2025-05-25,Cloverfield,2008,https://boxd.it/9Nuz3d,3.5,,,2025-05-25
2025-05-26,Kong: Skull Island,2017,https://boxd.it/9ObW7j,3.5,,,2025-05-26
2025-05-26,Godzilla,2014,https://boxd.it/9OfqxH,3.5,,,2025-05-26
2025-05-26,Godzilla: King of the Monsters,2019,https://boxd.it/9OhBu9,4,,,2025-05-26
2025-05-27,Godzilla vs. Kong,2021,https://boxd.it/9Onegl,3,,,2025-05-26
2025-05-27,Godzilla × Kong: The New Empire,2024,https://boxd.it/9Os7Lh,3,,,2025-05-26
2025-05-31,The Ugly Stepsister,2025,https://boxd.it/9QOtTz,3,,,2025-05-30
2025-06-03,Boyhood,2014,https://boxd.it/9SLOjT,5,,,2025-06-02
2025-06-05,A Complete Unknown,2024,https://boxd.it/9TYMRp,3.5,,,2025-06-04
2025-06-05,Arrival,2016,https://boxd.it/9U42yj,4.5,,,2025-06-04
2025-06-06,Sinners,2025,https://boxd.it/9UCGbd,5,Yes,,2025-06-05
2025-06-09,This Is Not a Film,2011,https://boxd.it/9WYbmh,4,,,2025-06-09
2025-06-10,Memories of Murder,2003,https://boxd.it/9XbaOb,5,,,2025-06-09
